dataset_path,dataset_role,analysis_phase,usage_mode,status
01_data_raw/01_occurrences/elephant_PA_data.csv,presence_response,phase_3_occurrence_processing,core_model_input,active
01_data_raw/02_rasters/present/Historical_bioclims/data/Historical/1986-2015/,baseline_climate,phase_1_harmonization|phase_4_predictor_engine|phase_9_future_projection_reference,core_model_input,active
01_data_raw/02_rasters/future/,future_climate,phase_9_future_projections,future_model_input,active
01_data_raw/02_rasters/dem/DEM_Bhutan_12.5NG.tif,terrain_source,phase_1_harmonization,core_model_input,active
01_data_raw/02_rasters/present/HII_Bhutan_2020.tif,human_pressure_primary,phase_1_harmonization|phase_4_predictor_engine,core_model_input,active
01_data_raw/02_rasters/present/human_footprint_index.tif,human_pressure_alternate,phase_1_harmonization,sensitivity_ready,active
01_data_raw/02_rasters/present/esa_landcover.tif,landcover_alternate,phase_1_harmonization,sensitivity_ready,active
01_data_raw/02_rasters/vegetation_indices/NDVI_Bhutan_2023.tif,vegetation_index,phase_1_harmonization|phase_4_predictor_engine,core_model_input,active
01_data_raw/02_rasters/vegetation_indices/EVI_Bhutan_2023.tif,vegetation_index,phase_1_harmonization|phase_4_predictor_engine,core_model_input,active
01_data_raw/03_vector/shapefiles/lulc/lulc_south_central_bhutan.tif,local_landcover_primary,phase_1_harmonization|phase_4_predictor_engine|phase_12_overlays,core_model_input,active
01_data_raw/03_vector/shapefiles/lulc/lulc_south_central_bhutan.shp,local_landcover_context,phase_1_harmonization|phase_12_overlays,contextual_overlay,active
01_data_raw/03_vector/shapefiles/South Central Bhutan/South_Central_Bhutan.shp,aoi,phase_1_harmonization|phase_2_accessible_area|phase_10_figures,core_model_input,active
01_data_raw/03_vector/shapefiles/rivers_streams/Major_Rivers.shp,distance_predictor,phase_4_predictor_engine,core_model_input,active
01_data_raw/03_vector/shapefiles/rivers_streams/Stream_above3.shp,distance_predictor,phase_4_predictor_engine,core_model_input,active
01_data_raw/03_vector/shapefiles/water_sources/watershed_water_source.shp,distance_predictor,phase_4_predictor_engine,core_model_input,active
01_data_raw/03_vector/shapefiles/Roads/road_network.shp,distance_predictor,phase_4_predictor_engine,core_model_input,active
01_data_raw/03_vector/shapefiles/Settlements/MS_Building_Foot_Prints_SCB.shp,distance_predictor,phase_4_predictor_engine,core_model_input,active
01_data_raw/03_vector/shapefiles/PA_Bhutan/PA_Bnd_Final_20230316.shp,distance_predictor|overlay,phase_4_predictor_engine|phase_12_overlays,core_model_input,active
01_data_raw/03_vector/shapefiles/Pvt land/Private_Public_Registered_Lands_SCB.shp,distance_predictor|overlay,phase_4_predictor_engine|phase_12_overlays,core_model_input,active
01_data_raw/03_vector/shapefiles/human_elephant_conflict/,conflict_overlay,phase_12_overlays,pending_geometry,pending
